country,name,full_name,isin,currency,symbol
egypt,Middle&West Delta Flour Mills,Middle & West Delta Flour Mills,EGS30421C019,EGP,WCDF
egypt,Kafr El Zayat Pesticides,Kafr El Zayat Pesticides,EGS38411C012,EGP,KZPC
egypt,AALR,General Co Land Recl Devel Reconst,EGS01081C016,EGP,AALR
egypt,Arab Pharma,Arab Pharmaceuticals,EGS38321C013,EGP,ADCI
egypt,ARAB DAIRY,The Arab Dairy Products Co.,EGS30221C013,EGP,ADPC
egypt,Arabia Invest,Arabia Investments Holding SAE,EGS21351C019,EGP,AIH
egypt,Alexandria Containers&goods,Alexandria Containers and goods,EGS42111C012,EGP,ALCN
egypt,Alexandria Cement,Alexandria Cement,EGS3H051C012,EGP,ALEX
egypt,Atlas Land Reclamation,Atlas for Land Reclamation and Agricultural Processing SAE,EGS071L1C018,EGP,AIFI
egypt,Arab Aluminum,Arab Aluminum,EGS3D031C018,EGP,ALUM
egypt,Amer Group Holding,Amer Group Holding,EGS675S1C011,EGP,AMER
egypt,Alexandria Medical Center,Alexandria New Medical Center,EGS72081C010,EGP,AMES
egypt,Arab Moltaka Invest,Arab Moltaka Investments Co,EGS67221C019,EGP,AMIA
egypt,Alexandria National Co,Alexandria National Company Fin Inv,EGS67331C016,EGP,ANFI
egypt,APP,Advanced Pharma Packaging Co.,EGS38461C017,EGP,APPC
egypt,Arab Valves Co,Arab Valves Company,EGS3E1E1C013,EGP,ARVA
egypt,Misr National Steel,Misr National Steel SAE,EGS3D0C1C018,EGP,ATQA
egypt,Belton Financial Hld,Belton Financial Holding,EGS691G1C015,EGP,BTFH
egypt,Cairo Educational Svcs,Cairo Educational Services,EGS72201C014,EGP,CAED
egypt,Ceramica Remas,The Arab Ceramic Ceramica Remas,EGS3C151C015,EGP,CERA
egypt,Cairo Invest RE,Cairo for Investment and Real Estate Development SAE,EGS65541C012,EGP,CIRA
egypt,Dice Sport&Casual Wear,Dice Sport & Casual Wear,EGS33321C018,EGP,DSCW
egypt,El Arabia Land Reclamation,El Arabia for Land Reclamation,EGS65771C015,EGP,EALR
egypt,EASB,Egyptian Arabian Secur Brokerage,EGS681D1C010,EGP,EASB
egypt,Osool ESB Securities Broker,Osool ESB Securities Brokerage Co,EGS68181C014,EGP,EBSC
egypt,El Arabia Engineering,El Arabia Engineering Industries,EGS3G111C015,EGP,EEII
egypt,Egypt Aluminum,Egypt Aluminum,EGS3E181C010,EGP,EGAL
egypt,Egyptian Satellite,Egyptian Satellite Co SAE,EGS48022C015,USD,EGSA
egypt,Egyptian Int Tourism,Egyptian International Tourism,EGS70011C019,EGP,EITP
egypt,EIUD,Egyptians For Invest&Urban Develop,EGS213S1C010,EGP,EIUD
egypt,El Wadi Co.,El Wadi Co. Touristic Investement,EGS70R91C016,EGP,ELWA
egypt,El Orouba,El Orouba Securities Brokerage,EGS681I1C015,EGP,EOSB
egypt,El Ahram Co.,El Ahram Co. For Printing & Packing,EGS360A1C011,EGP,EPPK
egypt,Faisal Islamic Bank - USD,Faisal Islamic Bank of Egypt - USD,EGS60322C012,USD,FAITA
egypt,Golden Coast Co,Golden Coast Company,EGS70GV1C015,EGP,GOCO
egypt,Golden Pyramids Plaza,Golden Pyramids Plaza,EGS70342C018,USD,GPPL
egypt,Golden Textiles&Clothes Wool,Golden Textiles & Clothes Wool,EGS32161C019,EGP,GTWL
egypt,Ismailia Develop&RE,Ismailia Development & Real Estate,EGS214Q1C011,EGP,IDRE
egypt,Ismailia Food Industries,Ismailia National Food Industries,EGS01041C010,EGP,INFI
egypt,Juhayna Food,Juhayna Food Industries,EGS30901C010,EGP,JUFO
egypt,El Kahera El Watania Inv,El Kahera El Watania Investment,EGS69011C012,EGP,KWIN
egypt,Middle East Glass,Middle East Glass Manufacturing,EGS3C001C012,EGP,MEGM
egypt,Medical Packaging,Medical Packaging Company,EGS3C4L1C015,EGP,MEPA
egypt,Minapharm Pharma,Minapharm Pharmaceuticals,EGS380G1C011,EGP,MIPH
egypt,Marsa Marsa Alam Tourism,Marsa Marsa Alam Tourism Develop,EGS70P91C010,EGP,MMAT
egypt,Memphis Pharma,Memphis Pharmaceuticals,EGS38351C010,EGP,MPCI
egypt,Nile City Invest,Nile City Investment,EGS67391C010,EGP,NCIN
egypt,National Drilling,National Drilling,EGS735N2C012,USD,NDRL
egypt,NHPS,National Housing Prof. Syndicates,EGS65131C012,EGP,NHPS
egypt,El Obour RE Inv,El Obour Real Estate Investment,EGS65551C011,EGP,OBRI
egypt,Orascom Hotels,Orascom Hotels and Development SAE,EGS70321C012,EGP,ORHD
egypt,Orascom Invest,Orascom Investment Holding SAE,EGS693V1C014,EGP,OIH
egypt,Reacap Financial Invest,Reacap Financial Investments,EGS69191C012,EGP,REAC
egypt,ALICO,Arab Real Estate Investment CO.,EGS65011C016,EGP,RREI
egypt,Suez Bags,Suez Bags,EGS36041C019,EGP,SBAG
egypt,SCTS,Sues Canal Co Technology Settling,EGS740C1C010,EGP,SCTS
egypt,Sharm Dreams Co.,Sharm Dreams Co. Tourism Investment,EGS70571C012,EGP,SDTI
egypt,Modern Shorouk,Modern Shorouk Printing & Packaging,EGS3A0A1C016,EGP,SMPP
egypt,El Shams Pyramids,El Shams Pyramids Hotels&Touristic,EGS70H02C014,USD,SPHT
egypt,Suez Cement,Suez Cement,EGS3C181C012,EGP,SUCE
egypt,UNB-E,Union National Bank,EGS60051C017,EGP,UNBE
egypt,National Bank of Kuwait,National Bank of Kuwait Egypt,EGS60171C013,EGP,NBKE
egypt,Bitumode,Modern Company for water proofing,EGS3J041C011,EGP,WATP
egypt,Wadi Kom Ombo Land,Wadi Kom Ombo Land Reclamation,EGS01071C017,EGP,WKOL
egypt,Abu Dhabi Islamic Bank,Abu Dhabi Islamic Bank- Egypt,EGS60111C019,EGP,ADIB
egypt,Arabian Cement Co SAE,Arabian Cement Co SAE,EGS3C0O1C016,EGP,ARCC
egypt,Industrial Engineer Enterprises,Industrial Engineer Enterprises,EGS22171C010,EGP,IEEC
egypt,Orascom Construction Ltd,Orascom Construction Ltd,EGS95001C011,EGP,ORAS
egypt,Emaar Misr for Development SAE,Emaar Misr for Development SAE,EGS673Y1C015,EGP,EMFD
egypt,Porto Group Holding SAE,Porto Group Holding SAE,EGS694A1C018,EGP,PORT
egypt,Arabian Food Industries Co,Arabian Food Industries Co,EGS30031C016,EGP,DOMT
egypt,Cleopatra Hospital,Cleopatra Hospital,EGS729J1C018,EGP,CLHO
egypt,Edita Food,Edita Food Industries SAE,EGS305I1C011,EGP,EFID
egypt,Gulf Arab Investment,Gulf Arab Investment Co SAE,EGS67152C016,USD,AGIN
egypt,Holding Company for Fin Investments,Holding Company for Financial Investments SAE,EGS69071C016,EGP,HCFI
egypt,Sabaa Intl Pharma and Chemical Industries,Sabaa International Company for Pharmaceutical and Chemical Industries SAE,EGS382M1C011,EGP,SIPC
egypt,Souhag National Food Industries,Souhag National Company Food Industries SAE,EGS30301C013,EGP,SNFI
egypt,Vodafone Egypt Telecom,Vodafone Egypt Telecommunications Co SAE,EGS48001C019,EGP,VODE
egypt,Obour Land,Obour Land for Food Industries,EGS30AL1C012,EGP,OLFI
egypt,Misr Fertilizers,Misr Fertilizers Production Co SAE,EGS39061C014,EGP,MFPC
egypt,MM Group,MM Group for Industry,EGS75011C014,EGP,MTIE
egypt,Raya Contact Center,Raya Contact Center Co,EGS74191C015,EGP,RACC
egypt,Integrated Engineering,Integrated Engineering Group SAE,EGS3E3B1C014,EGP,INEG
egypt,Arabian Rocks Plastic,Arabian Rocks Plastic Industries,EGS3J2D1C012,EGP,ARPI
egypt,Genial Tours,Genial Tours,EGS415I1C018,EGP,GETO
egypt,Port Saied  Agricultural,Port Saied for Agricultural Development and Construction,EGS521T1C016,EGP,PSAD
egypt,Univert Food,Univert Food Industries,EGS513B1C016,EGP,UNFO
egypt,Pharaoh tech,Pharaoh tech for control and communication systems,EGS49131C013,EGP,PTCC
egypt,Misr Kuwait,Misr Kuwait Investment & Trading Co,EGS659O1C015,EGP,MKIT
egypt,Al Moasher Programming,Al Moasher for Programming and Information Dissemination,EGS745W1C011,EGP,AMPI
egypt,ICFC,International Company For Fertilizers & Chemicals,EGS520D1C015,EGP,ICFC
egypt,BIG,Barbary Investment Group,EGS551D1C017,EGP,BIGP
egypt,UTOPIA,UTOPIA,EGS655Y1C017,EGP,UTOP
egypt,The Egyptian Modern Education,The Egyptian Modern Education Systems,EGS729F1C012,EGP,MOED
egypt,Al Fanar Contracting,Al Fanar Contracting Construction Trade Import And Export Co,EGS221U1C016,EGP,FNAR
egypt,ICMI,International company For Medical Industries,EGS3I0S1C019,EGP,ICMI
egypt,Brothers Solidarity,Brothers Solidarity For Real Estate Investment & Food Security,EGS233E1C012,EGP,BSRF
egypt,Vertika,Vertika,EGS74801C019,EGP,VERT
egypt,Difco 2,International Dry Ice Company,EGS30AJ1C016,EGP,DIFC
egypt,Arab Develop,Arab Development & Real Estate Investment,EGS65AN1C018,EGP,ADRI
egypt,MB Engineering,M.B Engineering,EGS221V1C015,EGP,MBEN
egypt,Ibnsina Pharma,Ibnsina Pharma Co,EGS512O1C012,EGP,ISPH
egypt,Al Tawfeek Financial,Al Tawfeek Company for Financial Leasing,EGS676N1C015,EGP,ATLC
egypt,BPE Financial,BPE Holding For Financial Investments SAE,EGS691T1C010,EGP,BINV
egypt,CI Capital,CI Capital Holding Co SAE,EGS691D1C018,EGP,CICH
egypt,Arab Co Asset Management,Arab Co for Asset Management and Development,EGS72AQ1C016,EGP,ACAMD
egypt,Sarwa Capital,Sarwa Capital Holding for Financial Investments SAE,EGS738I1C018,EGP,SRWA
egypt,Speed Medical,Speed Medical SAE,EGS73BR1C013,EGP,SPMD
egypt,Fawry Banking and Payment,Fawry Banking and Payment,EGS745L1C014,EGP,FWRY
